"","value","IdNumber","Nome","Paises","Rating","Flag","data"
"134","22724257       Alves, Vinicius Santiago Silva                               BRA M                                1353  0   40 2001  i   ","2272425","Alves, Vinicius","BRA","1353","i","DEC23"
"135","22736069       Alves, Wedson Alexandre                                      BRA M                                1811  0   40 1984  i   ","2273606","Alves, Wedson","BRA","1811","i","DEC23"
"136","44704291       Alves, Yan Gomes                                             BRA M                                1737  0   40 2005  i   ","4470429","Alves, Yan","BRA","1737","i","DEC23"
"137","2139936        Alves,Marcus Vinicius Machado                                BRA M                                1730  0   40 1994  i   ","2139936","Alves,Marcus","BRA","1730","i","DEC23"
"138","2102609        Alvim, Antonio Carlos Rodrigues                              BRA M                                2225  0   20 1961  i   ","2102609","Alvim, Antonio","BRA","2225","i","DEC23"
"139","22728864       Amador, Mario Lima                                           BRA M                                1239  0   40 1999  i   ","2272886","Amador, Mario","BRA","1239","i","DEC23"
"140","2131161        Amancio, Arnaldo Regis                                       BRA M                                1958  0   20 1981  i   ","2131161","Amancio, Arnaldo","BRA","1958","i","DEC23"
"141","2176840        Amaral, Caico Soares                                         BRA M                                1959  0   20 1989  i   ","2176840","Amaral, Caico","BRA","1959","i","DEC23"
"142","2174308        Amaral, Cleiston Silva                                       BRA M                                1713  0   40 1995  i   ","2174308","Amaral, Cleiston","BRA","1713","i","DEC23"
"143","2190273        Amaral, Danillo Mozzaquatro                                  BRA M                                1739  0   40 1994  i   ","2190273","Amaral, Danillo","BRA","1739","i","DEC23"
"144","22725334       Amaral, Danilo Tokechi                                       BRA M                                1516  0   20 1998  i   ","2272533","Amaral, Danilo","BRA","1516","i","DEC23"
"145","22749152       Amaral, Emily Costa                                          BRA F                                1325  0   40 2002  wi  ","2274915","Amaral, Emily","BRA","1325",NA,"DEC23"
"146","22748563       Amaral, Felipe Eduardo Correa M                              BRA M                                1580  0   40 1985  i   ","2274856","Amaral, Felipe","BRA","1580","i","DEC23"
"147","2113813        Amaral, Gileno Rodrigues                                     BRA M                                1937  0   20 1978      ","2113813","Amaral, Gileno","BRA","1937",NA,"DEC23"
"148","2113805        Amaral, Pedro Accorsi                                        BRA M                                2010  0   40 1991  i   ","2113805","Amaral, Pedro","BRA","2010","i","DEC23"
"149","2132494        Amaral, Rogerio Einloft do                                   BRA M                                1808  0   40 1965  i   ","2132494","Amaral, Rogerio","BRA","1808","i","DEC23"
"150","22704647       Amaral,Lucas Brito                                           BRA M                                1614  0   40 2006  i   ","2270464","Amaral,Lucas","BRA","1614","i","DEC23"
"151","22741259       Amarnani, Adityan Vivek                                      BRA M                                1347  5   40 2010      ","2274125","Amarnani, Adityan","BRA","1347",NA,"DEC23"
"152","2141361        Amaro, Jose Roberto                                          BRA M                                1793  0   20 1980  i   ","2141361","Amaro, Jose","BRA","1793","i","DEC23"
"153","22786619       Americano,Lucca Casarini                                     BRA M                                1535  0   40 2006      ","2278661","Americano,Lucca","BRA","1535",NA,"DEC23"
"154","22792058       Amorim Filho, Robson Bezerra                                 BRA M                                1258  0   40 2004      ","2279205","Filho, Robson","BRA","1258",NA,"DEC23"
"155","2124912        Amorim, Daniel Madson De Medeiro                             BRA M                                2143  0   20 1989  i   ","2124912","Amorim, Daniel","BRA","2143","i","DEC23"
"156","2106566        Amorim, Genaro Jose Melo De                                  BRA M                                1823  0   20 1981  i   ","2106566","Amorim, Genaro","BRA","1823","i","DEC23"
"157","2159112        Amorim, Gidelson Ferreira                                    BRA M                                2097  8   20 1991      ","2159112","Amorim, Gidelson","BRA","2097",NA,"DEC23"
"158","2127113        Amorim, Jorge Luiz De Freitas                                BRA M                                1482  0   40 1957  i   ","2127113","Amorim, Jorge","BRA","1482","i","DEC23"
"159","2128497        Amorim, Lucio Antonio De                                     BRA M                                2202  0   40 1982  i   ","2128497","Amorim, Lucio","BRA","2202","i","DEC23"
"160","2124920        Amorim, Marcio Felipe De Medeiro                             BRA M                                2032  0   20 1986  i   ","2124920","Amorim, Marcio","BRA","2032","i","DEC23"
"161","22755810       Amorim, Thiago Augusto Coelho                                BRA M                                1798  0   40 1985  i   ","2275581","Amorim, Thiago","BRA","1798","i","DEC23"
"162","22712933       Amorim, Thiago Iannicelli                                    BRA M                                1722  0   40 1985  i   ","2271293","Amorim, Thiago","BRA","1722","i","DEC23"
"163","22723846       Amorin, Gabriel Ferrante                                     BRA M                                1304  0   40 2001  i   ","2272384","Amorin, Gabriel","BRA","1304","i","DEC23"
"164","22768785       Amorin, Luan Kenzo                                           BRA M                                1539  0   40 2002  i   ","2276878","Amorin, Luan","BRA","1539","i","DEC23"
"165","22784209       Anacleto, Luis Gustavo                                       BRA M                                1702  0   40 1993  i   ","2278420","Anacleto, Luis","BRA","1702","i","DEC23"
"166","2175029        Ananias, Thales Rodrigo Lima                                 BRA M                                1512  0   20 1998  i   ","2175029","Ananias, Thales","BRA","1512","i","DEC23"
"167","2148242        Anbar Neto, Toufic                                           BRA M                                2027  0   40 1964  i   ","2148242","Neto, Toufic","BRA","2027","i","DEC23"
"168","22745645       Andersson, Cristian de Oliveira                              BRA M                                1461  4   20 1974      ","2274564","Andersson, Cristian","BRA","1461",NA,"DEC23"
"169","2120496        Andor, Jorge                                                 BRA M                                1741  0   20 1952  i   ","2120496","Andor, Jorge","BRA","1741","i","DEC23"
"170","2193914        Andrade, Ana Laura Dahmer De                                 BRA F                                1445  0   40 2001  wi  ","2193914","Andrade, Ana","BRA","1445",NA,"DEC23"
"171","2137844        Andrade, Artur Diego De Souza                                BRA M                                1727  0   40 1998  i   ","2137844","Andrade, Artur","BRA","1727","i","DEC23"
"172","2116251        Andrade, Erastro Trajano de                                  BRA M                                1889  0   20 1951  i   ","2116251","Andrade, Erastro","BRA","1889","i","DEC23"
"173","2114674        Andrade, Felipe Soares De                                    BRA M                                1926  0   40 1980  i   ","2114674","Andrade, Felipe","BRA","1926","i","DEC23"
"174","2109026        Andrade, Francisco Antonio de                                BRA M                                1965  0   20 1953  i   ","2109026","Andrade, Francisco","BRA","1965","i","DEC23"
"175","44724993       Andrade, Francisco Camara Raposo                             BRA M                                1487  0   40 2004      ","4472499","Andrade, Francisco","BRA","1487",NA,"DEC23"
"176","2110202        Andrade, Francisco Lauzeniro                                 BRA M                                1563  0   40 1955      ","2110202","Andrade, Francisco","BRA","1563",NA,"DEC23"
"177","22724486       Andrade, Guilherme A. De Souza                               BRA M                                1964  0   20 1998      ","2272448","Andrade, Guilherme","BRA","1964",NA,"DEC23"
"178","44718136       Andrade, Guilherme Cesar Justo                               BRA M                                1347  0   40 2010  i   ","4471813","Andrade, Guilherme","BRA","1347","i","DEC23"
"179","2171341        Andrade, Joanderson Muller Lima                              BRA M                                1437  0   20 1996      ","2171341","Andrade, Joanderson","BRA","1437",NA,"DEC23"
"180","22770690       Andrade, Joao Victor De Souza                                BRA M                                1544  0   40 1998  i   ","2277069","Andrade, Joao","BRA","1544","i","DEC23"
"181","2128500        Andrade, Leo Pasqualini De                                   BRA M                                1768  0   20 1962  i   ","2128500","Andrade, Leo","BRA","1768","i","DEC23"
"182","2105357        Andrade, Luciano Nilo                                        BRA M                                2003  0   20 1924  i   ","2105357","Andrade, Luciano","BRA","2003","i","DEC23"
"183","2131340        Andrade, Rafael De Souza                                     BRA M                                1947  0   40 1983  i   ","2131340","Andrade, Rafael","BRA","1947","i","DEC23"
"184","44704844       Andrade, Raul A Lima De Sousa                                BRA M                                1495  5   40 2009      ","4470484","Andrade, Raul","BRA","1495",NA,"DEC23"
"185","2101521        Andrade, Roberto Luiz Costa                                  BRA M   FM                           1957  0   20 1959      ","2101521","Andrade, Roberto","BRA","1957",NA,"DEC23"
"186","2100894        Andrade, Waldemiro Soares de                                 BRA M   FM                           2163  0   20 1957  i   ","2100894","Andrade, Waldemiro","BRA","2163","i","DEC23"
"187","2142724        Andrade,Thiago Oliveira                                      BRA M                                2009  0   40 1992  i   ","2142724","Andrade,Thiago","BRA","2009","i","DEC23"
"188","2132028        Andrades, Jose Jorge                                         BRA M                                1783  0   20 1954  i   ","2132028","Andrades, Jose","BRA","1783","i","DEC23"
